"<DATE>","<OPEN>","<HIGH>","<LOW>","<CLOSE>","<VOL>"
"6/22/2020","0.035395","0.03575","0.03523","0.035565","36179420000"
"6/23/2020","0.035555","0.03588","0.03543","0.03554","20508930000"
"6/25/2020","0.03511","0.0356","0.034975","0.0356","26235290000"
"6/26/2020","0.035565","0.0357","0.03504","0.03515","19429490000"
"6/29/2020","0.035155","0.03551","0.034845","0.035485","19382180000"
"6/30/2020","0.03543","0.03555","0.03492","0.03505","21450170000"
"7/2/2020","0.03514","0.03558","0.035135","0.03541","21507650000"
"7/3/2020","0.03552","0.035695","0.03538","0.03567","16942550000"
"7/6/2020","0.03597","0.03616","0.0358","0.03608","25440740000"
"7/7/2020","0.035985","0.036","0.035655","0.035735","21093550000"
"7/8/2020","0.03572","0.03575","0.035275","0.03551","28613630000"
"7/9/2020","0.035565","0.035585","0.035","0.035175","25468430000"
"7/10/2020","0.03499","0.035255","0.03486","0.035235","21485760000"
"7/13/2020","0.03536","0.035395","0.034955","0.035","21728000000"
"7/14/2020","0.03503","0.035055","0.03418","0.034915","37297990000"
"7/15/2020","0.035","0.035055","0.03474","0.034995","20337630000"
"7/16/2020","0.034815","0.03494","0.034625","0.03481","14515890000"
"7/17/2020","0.03482","0.03488","0.034605","0.0348","15439030000"
"7/20/2020","0.034785","0.037135","0.03465","0.0371","107887740000"
"7/21/2020","0.037155","0.03872","0.037155","0.03807","140223870000"
"7/22/2020","0.038","0.03835","0.03752","0.03789","50315350000"
"7/23/2020","0.038125","0.038205","0.03716","0.037465","37834310000"
"7/24/2020","0.03749","0.038025","0.03712","0.03795","29316980000"
"7/27/2020","0.03811","0.0395","0.038045","0.03921","90473020000"
"7/28/2020","0.039305","0.039515","0.03874","0.038905","32015610000"
"7/29/2020","0.038885","0.039295","0.0385","0.03924","40366650000"
"7/30/2020","0.038625","0.039115","0.03825","0.03861","44652330000"
"7/31/2020","0.03849","0.0389","0.03849","0.038755","28055260000"
"8/3/2020","0.03884","0.040135","0.03876","0.040125","66483160000"
"8/4/2020","0.040205","0.040705","0.03985","0.040385","43587170000"
"8/5/2020","0.04053","0.040725","0.03811","0.03855","186800880000"
"8/6/2020","0.03856","0.03878","0.03743","0.03783","85586550000"
"8/7/2020","0.037805","0.03794","0.036595","0.03672","100221800000"
"8/10/2020","0.036705","0.03705","0.03651","0.036755","39955870000"
"8/11/2020","0.03664","0.037455","0.036605","0.03693","58728300000"
"8/12/2020","0.037165","0.0377","0.036935","0.03768","39873380000"
"8/13/2020","0.03759","0.037985","0.037455","0.03764","34493030000"
"8/14/2020","0.037765","0.037845","0.037275","0.03772","25066590000"
"8/17/2020","0.03786","0.0381","0.03737","0.03761","35985140000"
"8/18/2020","0.037595","0.037735","0.03717","0.037355","19437750000"
"8/19/2020","0.03733","0.03766","0.037245","0.037445","17985260000"
"8/20/2020","0.037345","0.037345","0.03671","0.03697","28969060000"
"8/21/2020","0.03703","0.0371","0.036075","0.03636","34526110000"
"8/24/2020","0.036465","0.03666","0.036005","0.036315","40958050000"
"8/25/2020","0.03632","0.03646","0.03565","0.03585","36234190000"
"8/26/2020","0.0358","0.03608","0.03536","0.036065","31768700000"
"8/27/2020","0.03605","0.03637","0.03595","0.03609","22238140000"
"8/28/2020","0.03616","0.036275","0.0358","0.03595","15054610000"
"8/31/2020","0.03606","0.036195","0.035055","0.035375","29784330000"
"9/1/2020","0.035435","0.036085","0.03537","0.036065","24611870000"
"9/2/2020","0.036085","0.03616","0.03516","0.035555","29955300000"
"9/3/2020","0.0355","0.03562","0.034925","0.03508","34142720000"
"9/4/2020","0.03498","0.0354","0.034805","0.035335","20954790000"
"9/7/2020","0.035255","0.035445","0.035085","0.03521","14150490000"
"9/8/2020","0.03525","0.035285","0.0345","0.034825","26885500000"
